"Loc","Loc Zn","Loc Name","Loc Purp Desc","Loc/QTI","Flow Ind","DC","OPC","TSQ","OAC","IT","Auth Overrun Ind","Nom Cap Exceed Ind","All Qty Avail","Qty Reason"
"100734","WEST TEXAS","3 BEAR LEA","M2","RPQ","R","55000","60000","39922","20078","Y","N","N","Y",""
"60152","CENTRAL","ABO FUEL DEL","MQ","DPQ","D","5000","5000","1100","3900","Y","N","N","Y",""
"28786","PANHANDLE","ADOBE OWENS CORNING","MQ","DPQ","D","13000","13000","3000","10000","N","N","N","Y",""
"500307","CENTRAL","AGAVE LONG ARROYO MQ","M2","RPQ","R","70000","70000","2000","68000","Y","N","N","Y",""
"57274","PANHANDLE","ANR/TW RED DEER","M2","RPQ","R","200000","220000","2138","217862","Y","N","N","Y",""
"79049","PANHANDLE","ATMOS AIRPORT I/C","MQ","DPQ","D","250","250","1","249","N","N","N","Y",""
"79052","PANHANDLE","ATMOS CANYON WEST I/C","MQ","DPQ","D","3000","3000","1500","1500","N","N","N","Y",""
"79058","PANHANDLE","ATMOS PAMPA NORTH","MQ","DPQ","D","15600","15600","4500","11100","N","N","N","Y",""
"57245","WEST TEXAS","ATMOS PIPELINE  WARD","M2","RPQ","R","85000","85000","40257","44743","Y","N","N","Y",""
"500154","WEST TEXAS","ATMOS PIPELINE PECOS","MQ","DPQ","D","95000","95000","3000","92000","N","N","N","Y",""
"78474","PANHANDLE","ATMOS RANDALL COUNTY","MQ","DPQ","D","120000","120000","25798","94202","N","N","N","Y",""
"100732","PHOENIX","Arlington Valley Plant","MQ","DPQ","D","250000","250000","16800","233200","N","N","N","Y",""
"500536","SAN JUAN2","BP FLORIDA PLANT I/C","M2","RPQ","R","360000","360000","83421","276579","Y","N","N","Y",""
"78113","W. THOREAU","CALPINE SO. POINT POWER DEL","MQ","DPQ","D","90000","100000","20000","80000","N","N","N","Y",""
"9198","PANHANDLE","CIG TUMBLEWEED REC CIG TW","M2","RPQ","R","40000","40000","622","39378","Y","N","N","Y",""
"78508","SAN JUAN","CORTO INTERCONNECT","MQ","DPQ","D","100000","100000","19811","80189","N","N","N","Y",""
"79035","CENTRAL","COYOTE INTERCONNECT","MQ","DPQ","D","3500","3500","1300","2200","Y","N","N","Y",""
"56339","CENTRAL","DAGGER DRAW","M2","RPQ","R","55000","55000","52826","2174","N","N","N","Y",""
"78477","PANHANDLE","DAIRICONCEPTS - ROOSEVELT","MQ","DPQ","D","6000","6000","1485","4515","N","N","N","Y",""
"10703","CENTRAL","DCP Artesia","M2","RPQ","R","43000","38000","25377","12623","Y","N","N","Y",""
"79069","CENTRAL","DCP ZIA II","M2","RPQ","R","125000","125000","54000","71000","Y","N","N","Y",""
"13199","CENTRAL","EASTERN NEW MEXICO ROOSEVELT","MQ","DPQ","D","10000","10000","419","9581","N","N","N","Y",""
